,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,p_val_21,p_val_31,p_val_41,p_val_42,p_val_43,p_val_51,p_val_52,p_val_61,p_val_62,p_val_63,p_val_64,p_val_71,p_val_73,p_val_87,p_val_97,p_val_98,p_val_82,p_val_53,p_val_95
0,-126.3031789021046,-126.3029386379668,-126.36260028792358,-126.36236191865618,-126.33567833804278,-126.31279123212249,-124.31686742659798,-126.30282337789777,-126.30386961836655,-126.29082338381266,-126.36226700549673,1.0,0.9707263309386975,0.9708420334957234,0.9707254112388406,1.0,0.9838815964616714,0.9837634078291998,0.9952053661212016,0.9950858172225605,1.0,1.0,1.0,1.0,0.3704717906838181,0.3702780400756905,0.9994770165691431,1.0,1.0,1.0
1,-115.20760010586093,-118.04760803336353,-115.38268830901416,-118.22669594964722,-115.47517448872131,-115.4381642216853,-116.12040432504881,-118.31147668937251,-118.5497612912182,-118.30981411839508,-118.48315248065614,0.24171305880468708,0.9161784658451031,0.22100986910159734,0.9143480711986758,1.0,0.874776204669553,1.0,0.8911147624870168,1.0,0.9726432084004868,1.0,0.6335590257083668,0.6915235942857028,0.3343602808589506,0.29680542692014544,0.8876814738810209,0.876398548031055,0.9548098293956737,0.21496213100071315
2,-134.93071044737036,-135.01094037570198,-134.93070258228448,-135.01093354988728,-134.9306890975974,-136.8517639054361,-132.5241664317631,-134.99128343874614,-134.9223312743024,-135.0109204181694,-134.9454328917335,0.9606789891449508,1.0,0.9606822678589257,1.0,1.0,1.0,1.0,0.3826912582818335,0.3983549787244192,0.38268975333498717,0.3983536191781057,1.0,1.0,0.2912543019721388,0.3014707081488902,1.0,1.0,1.0,1.0
3,-119.30369820071826,-119.30024493696072,-119.49648536045638,-119.49255966971319,-119.3254236759652,-119.98781455482899,-117.77013300834116,-119.29916369610166,-119.41337120961737,-119.30056214089467,-119.49230203081333,1.0,0.9081065332738479,0.9098907564838846,0.9083210656266515,1.0,0.9891960488576144,0.9874895451011599,0.7103068799444324,0.7090814996365951,0.7821845278259141,0.7806507263457544,1.0,1.0,0.46555951257202366,0.43971912831461024,0.9444960664327188,1.0,1.0,0.9569790617419229
4,-126.67093586853773,-126.67998234255933,-126.67093238473316,-126.6799793597435,-126.67091871057971,-127.74244638404537,-124.47485934105549,-126.69697026036974,-126.83572266098852,-126.67996634241038,-126.69696730344296,0.995486977419161,1.0,0.995488462097425,1.0,1.0,1.0,1.0,0.5852271258672552,0.5878802426772871,0.5852261064596778,0.587879365908694,1.0,1.0,0.3292113083860983,0.3071461272946708,0.9329756283294209,0.991542012844166,1.0,0.9209017046339008
5,-130.68674575461603,-130.68647771726876,-130.72979613658433,-130.67253354525317,-130.68673381474116,-131.88888693366295,-127.4916163246935,-130.65303629573003,-130.62720422942732,-130.68646508134788,-130.6963776559534,1.0,0.9787048226209349,1.0,1.0,1.0,1.0,0.9998719594616885,0.5482243985073647,0.5481509311237334,0.5601529550444436,0.5443424675818067,1.0,1.0,0.20582891076965593,0.2085046465527477,1.0,1.0,1.0,1.0
6,-122.50207609773952,-122.50185136973602,-122.50207364400453,-122.50185030531611,-122.9003474421333,-123.8737225226773,-122.83213995454238,-122.50160017867967,-122.85184633909105,-122.48011408853435,-122.50159911592971,1.0,1.0,1.0,1.0,1.0,0.8194387107408013,0.8193466405008599,0.5036754269711572,0.5036188351640993,0.5036748090285259,0.5036185671332143,0.8478666326295357,0.8478655924101608,1.0,0.9901951913831067,0.839353706584516,1.0,0.8194377053986984,1.0
7,-126.89477164225616,-126.87860229158679,-127.54549336582417,-126.89452403747197,-127.52153044491291,-129.38951590880902,-128.62413629081226,-126.89454332632474,-127.83028036348304,-126.89453897155681,-126.89449316923711,1.0,0.722266668170785,1.0,0.992070730886119,1.0,0.7309725280040418,0.7250866770926,0.2872586834048428,0.2849456528616093,0.3977183166050778,0.28722312229400754,0.421185331731342,0.5831438031025816,1.0,1.0,0.6263358697740309,0.9920611629791252,1.0,0.8569506391636725
8,-116.79758607438097,-116.79734392304164,-116.79758078381192,-116.79733967358348,-116.79826151406334,-117.12658321733599,-114.54234915659421,-116.79712481645151,-116.80246199943522,-116.77890582932093,-116.79712074551588,1.0,1.0,1.0,1.0,1.0,0.9996623371797423,0.9995413097197148,0.8483189687862005,0.8482162642166003,0.8483167247441283,0.8482144619887533,1.0,1.0,0.3238781772847862,0.32301503094121375,0.99733496603319,1.0,0.9996596927919293,0.997901961280504
9,-127.66419762528994,-128.0623038137568,-127.72509724621676,-128.1666757690224,-127.79907199280842,-128.12734692848676,-127.17395045980365,-128.00929535412953,-127.97685366970347,-128.21450461565678,-128.11302454649527,0.8195063811147119,0.970009115153488,0.7778363905309268,0.9491523293240199,1.0,0.9347864385417722,1.0,0.7932834734133595,0.9680015820429811,0.8178103288110189,1.0,1.0,1.0,0.6585779121625408,0.6693477120319534,1.0,1.0,0.963688303479352,0.9149454449884977
