,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,p_val_21,p_val_31,p_val_41,p_val_42,p_val_43,p_val_51,p_val_52,p_val_61,p_val_62,p_val_63,p_val_64,p_val_71,p_val_73,p_val_87,p_val_97,p_val_98,p_val_82,p_val_53,p_val_95
0,-138.52064754357517,-138.52114704850908,-138.7261263752255,-138.72589183306542,-138.72612848976686,-138.72611828661417,-137.94513112509878,-138.52108978154655,-138.70069764077203,-138.72589094045424,-138.7258687736419,0.9997502787185947,0.9023620841262197,0.9024679113075279,0.9026933330433715,1.0,0.9023611300857499,0.9025865251493893,0.9023657335616917,0.9025911297752043,1.0,0.9998867796355351,1.0,1.0,0.7497770913030128,0.6853790351032508,0.9141103976812005,1.0,0.999998942729879,1.0
1,-130.44491616749548,-133.82457788867117,-130.44427919859567,-133.82458206618813,-130.4444909259173,-130.4449162445521,-131.4547316966583,-133.82461471497862,-133.81443276995319,-133.82458167431855,-133.82455585305314,0.18455073615633727,1.0,0.18455035067482506,0.9999979112437033,1.0,1.0,1.0,0.9999999614716878,1.0,0.9996815277448392,1.0,0.6035612425836088,0.6033690483203468,0.3057640633725466,0.3073246689439403,1.0,0.9999815870157958,0.9998941419425389,0.18544982438423668
2,-150.92281727056337,-151.54098513570838,-151.3953133405434,-152.00508726671688,-151.2884993865161,-150.9231070030322,-149.9437331066941,-151.54092903283333,-151.86517498611454,-151.92340713917932,-152.00593066904526,0.7341191509315116,0.7895848049834124,0.582087209440505,0.7929056321469126,1.0,0.8329005281124736,1.0,0.9998551442581988,1.0,1.0,1.0,1.0,1.0,0.4499593817499409,0.3826169427700132,0.8503366265683238,1.0,1.0,0.7495083656960637
3,-133.02932626831614,-133.02384407279166,-133.0292836409154,-133.0478304755463,-133.02929813615265,-133.02914873190346,-133.79611542588376,-133.02389217517467,-133.09851782399656,-133.02426131684422,-133.02397423379713,1.0,1.0,0.9907905654014522,0.9880784304115198,1.0,1.0,0.997276683292683,1.0,0.9973511847624063,1.0,1.0,0.6815439234509748,0.6815293973828023,1.0,1.0,0.9633747210769986,0.9999759490977252,0.9999927524076377,0.9659822265823509
4,-145.3580693411531,-145.36738314307962,-146.38965940130942,-146.39887181877663,-146.3895589001275,-146.38952244595973,-146.5293491887246,-145.37463198748344,-146.56590169378956,-146.3987052406107,-146.39936049231056,0.9953539255874577,0.5970257524557143,0.5942820511022608,0.5970560177893665,1.0,0.597055754106387,0.5998426677766953,0.5970666367908808,0.5998536012589613,1.0,1.0,0.5567494705638008,0.9325384512707411,1.0,0.9818897453594007,0.5512125157607439,0.9963821380880927,1.0,0.915603931661402
5,-145.26484008959932,-145.26516061728802,-145.26572734438076,-145.2845051667582,-145.26563911281545,-145.26574653098663,-144.496844380496,-145.2649119423453,-145.08126939614078,-145.26481081701084,-145.28451617520562,0.9998397489972138,0.999556470997358,0.9902156427836684,0.9903743512665926,1.0,0.9996005681860699,0.9997607808537481,0.999546881995327,0.9997070860583603,0.9999904067430814,1.0,1.0,1.0,0.681108418318759,0.7466098586786221,1.0,1.0,1.0,1.0
6,-140.97560025695734,-140.97525444766734,-140.97546991159498,-140.97536990357312,-140.97559366692042,-140.97559769140105,-139.3653941596849,-140.9748557051332,-140.93995016872395,-140.9753673349652,-140.97522548653131,1.0,1.0,1.0,0.9999422737133336,1.0,1.0,0.9998304047563604,1.0,0.9998283928593353,0.9999361121378844,0.9998861125717033,1.0,1.0,0.4472083110285575,0.45508184161742005,1.0,1.0,0.9999381242516667,1.0
7,-137.35522264794807,-137.35682852932686,-137.97288451170613,-137.97271374780533,-137.97288068134873,-137.97286791118745,-136.31734654581257,-137.35676261560184,-137.95183320379942,-137.97271047003807,-137.97267064305078,0.9991973815812181,0.7343049070830183,0.7343676061448183,0.7349574965685862,1.0,0.7343063134094823,0.7348961545990556,0.7343110020294752,0.7349008469852443,1.0,0.999922921279657,1.0,1.0,0.5946941525666336,0.4416474546889806,0.7426463717238174,1.0,1.0,1.0
8,-126.80632943696625,-128.9522508534091,-128.95244701152845,-128.95225034253386,-126.80633771730109,-126.80632573718589,-127.35160981267177,-128.9520444929942,-128.91387134493212,-128.95224980676633,-128.95204398334621,0.3419944711694413,0.34196093031815156,0.3419945585277084,1.0,1.0,0.9999958598411509,1.0,1.0,1.0,1.0,1.0,0.7613666873323665,1.0,0.4492313174993735,0.457887954269646,1.0,1.0,1.0,0.34862207826245667
9,-133.55434688349038,-134.21283378770949,-134.44725371606805,-134.21282016861326,-133.55432879663817,-133.55434311910852,-133.82523335709203,-134.6403809625955,-134.36886594059965,-134.21281439553704,-134.64057499870998,0.7194678394610294,0.6398935681081196,0.7194727387285775,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.873328734454446,1.0,0.6652623513940394,0.7619942328565864,1.0,0.8075311995298928,1.0,0.6654654409274772
10,-131.0351115511041,-134.64895431580598,-134.41330788930458,-136.479867780132,-132.56389687491938,-132.56482883689276,-134.29895277389048,-134.64910249913862,-134.63712265174473,-136.47915311462353,-136.47903089010694,0.16415874166076924,0.1846860044586672,0.06571828284421216,0.4003337390342434,1.0,0.46561663183507507,1.0,0.4653997138812994,1.0,1.0,1.0,0.1955536306907662,1.0,0.8393941791661098,0.8444371747521506,1.0,0.9999259110783992,1.0,0.35465390220752985
11,-132.23244656117922,-132.2367542216329,-132.23244355914233,-132.218348353008,-132.2320151884141,-132.2324427932487,-130.43126320091244,-132.19887667101557,-131.14884399739128,-132.21746022935443,-132.19990300166103,0.9978484876011098,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9929775533065992,1.0,1.0,0.41320694458063656,0.6985207471870367,1.0,1.0,1.0,1.0
12,-137.88255077118777,-138.11597854439458,-137.95619200195182,-138.11600870722702,-137.8828406961196,-137.88254919406137,-136.92600741898713,-138.11592969028192,-138.0828754235764,-138.11598703968238,-138.11593853068402,0.8898397518191709,0.9638490195303608,0.8898263318766984,0.9999849186975015,1.0,0.9998550480406403,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5515840024064294,0.5607758530142344,1.0,1.0,1.0,0.9048217068211787
13,-138.89802968945082,-138.8983094552628,-138.93003079983242,-138.8978955756745,-138.8979054624602,-138.89840714213895,-137.29547622909126,-138.89821589783276,-138.87604534794787,-138.8824839793463,-138.89821384791227,0.9998601268771737,0.9841267736770026,1.0,1.0,1.0,1.0,1.0,0.9998112914636326,0.9999511577547414,1.0,0.9997442494775224,1.0,1.0,0.4487138792367883,0.4537156678399601,1.0,1.0,1.0,1.0
14,-138.01672168900498,-138.68308586144593,-138.01671599615676,-138.6839257787073,-138.01575274255393,-138.01451877754485,-136.96169970498892,-138.68373833589416,-138.61656824024465,-138.68357042965926,-138.6838602980894,0.716639692061773,1.0,0.7163387962243233,0.999580129539596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42273096642715036,0.43716950857200954,1.0,0.9996738159854615,1.0,0.7405162144831379
15,-143.17035234827668,-143.1527631030798,-143.17026755187038,-143.1526493725896,-143.17030770198124,-143.17035863688284,-142.69915958879787,-143.15202158536275,-142.44773141026485,-143.15267922174561,-143.15221168307608,1.0,1.0,1.0,1.0,1.0,1.0,0.991266064904936,0.999996855701864,0.9912408202066616,0.9999544585308158,0.9911844546571036,1.0,1.0,0.7973743606152084,1.0,1.0,1.0,0.9999799251460713,1.0
16,-154.79168006650465,-158.7222569895987,-154.86302346828663,-159.1463026671683,-154.86305666795835,-154.8630574720646,-159.14645550783774,-158.72226700038547,-159.1371680204618,-158.72221227926104,-159.14630670064497,0.1401154628625679,0.9649570360222935,0.11334587432741375,0.8089462220068382,1.0,0.9649410180268324,1.0,0.9649406300693518,1.0,0.9999829982555395,1.0,0.11333721272872367,0.11745311811592948,1.0,1.0,0.8126534589665915,0.9999949946191365,0.9999834003019169,0.11800176744847743
17,-139.47051433197885,-139.47021348206601,-139.2751307082396,-141.91279980734942,-141.96230720971965,-141.9543045087102,-141.92627488939192,-139.4701964887397,-141.19406664466197,-141.9447422258587,-141.94465577017266,1.0,1.0,0.2948929889761033,0.2948486330472921,1.0,0.28768290236881744,0.2876396309354001,0.28883632858776276,0.28879288366330574,0.26195385930964704,0.9794614975100973,0.2929128136131093,0.2656509392096329,1.0,1.0,0.4223440224583407,1.0,0.2609077843544676,1.0
18,-134.6136554437711,-135.59199496363635,-134.6136717021601,-135.59283365012877,-134.61366937113942,-134.61367323139189,-133.09053730212972,-135.5927314099655,-135.57505884127343,-135.59105834564917,-134.67117538636745,0.6131352323628945,0.9999918708385438,0.6128781721461911,0.9995807446658828,1.0,0.9999930363400891,1.0,0.9999911062291612,1.0,0.9999992353844017,1.0,1.0,1.0,0.28619065799544313,0.28873072588037674,1.0,0.9996318446212579,1.0,0.6183536505804076
19,-142.61850492031007,-142.60865817624176,-143.20419444792952,-142.63493713549587,-142.62131478285778,-143.2036575231848,-142.3401042859972,-142.64766843690578,-141.98085055017657,-142.6103979728255,-142.59841275810436,1.0,0.7461379593215922,0.9918175523713769,0.9869464664944616,1.0,0.9985960551800679,0.9936916782314034,0.746338296178511,0.7426728257245712,1.0,0.752495551620417,1.0,1.0,0.8574588619850658,1.0,1.0,0.9806838639419443,1.0,1.0
20,-156.02827889019898,-157.8326873801069,-156.08608998407271,-157.8794417090793,-156.07535351171674,-156.02827843333364,-156.66116666989257,-157.83400004902933,-157.79025322021295,-157.87129429907333,-157.87992591945067,0.4056744675935232,0.9715082220605742,0.3963009389727705,0.9768939645712565,1.0,0.9767375311704635,1.0,1.0,1.0,1.0,1.0,0.7287358998956375,0.7501078049035803,0.5563171745436823,0.5686197902428237,1.0,0.9993438808791363,1.0,0.42424258443771723
21,-133.24736600078114,-133.59210544173948,-133.24736190348483,-133.59210332048974,-133.24735390459384,-133.24735092221206,-130.46895035742975,-133.59210713834116,-133.15659074609297,-133.5920989735239,-133.59210455279833,0.841667933764483,1.0,0.8416688264588975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.20980465605164061,0.2608472754834852,1.0,0.9999991516995169,1.0,1.0
22,-129.7735215774268,-129.7575842627832,-131.92481963214078,-131.9246853081566,-131.9247434939844,-131.92484975765842,-131.87065305451208,-129.7732386202125,-131.91151763889943,-131.9246854441619,-131.9246846927203,1.0,0.34107631558891344,0.3410992237229932,0.33839192200226353,1.0,0.3410893002969955,0.33838207733841613,0.341071178077325,0.3383640989546535,0.999984937354623,0.9999177786294502,0.3504400114388311,1.0,1.0,0.9797750326469066,0.34330380006882055,0.9922033738831515,1.0,1.0
