,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,gene_id,p_val_21,p_val_31,p_val_41,p_val_42,p_val_43,p_val_51,p_val_52,p_val_61,p_val_62,p_val_63,p_val_64,p_val_71,p_val_73,p_val_87,p_val_97,p_val_98,p_val_82,p_val_53,p_val_95
0,-49.26738845269682,-49.26123251473888,-49.2673772257472,-49.27035569314958,-49.267380238558246,-49.2871057758955,-49.045401809027425,-49.260285759400006,-49.286228218228956,-49.270356736797225,-49.270778743057974,Fcan01_05003,1.0,1.0,0.9985174797940358,0.9954487990410471,1.0,1.0,0.9969308575669246,0.9901897756985982,0.9871466879530344,0.9901842173088341,0.9916599315846174,1.0,1.0,0.8981286346856014,0.8865540328172946,0.987112534417346,1.0,0.9999984935956099,0.9906202767916359
1,-65.70728485810523,-66.41056069908129,-64.78950398728739,-66.41032837778118,-64.78949623171542,-64.78937893647984,-62.94681793631162,-66.411020924203,-66.01929049513978,-66.4103107250113,-66.4118116363054,Fcan01_05004,0.7035348114058132,1.0,0.7036165392135261,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1769122390500954,0.21518949231608772,1.0,0.9997699139130078,1.0,0.5406965129731386
2,-83.10317078328998,-83.1030286539197,-82.60185688042523,-82.5918220378943,-83.10327514269073,-83.10320672647208,-83.25384831556696,-83.10302662388665,-82.60570589222473,-83.10313248939212,-82.59289087489003,Fcan01_05005,1.0,1.0,1.0,1.0,1.0,0.9999478216609613,0.9998767632087572,0.9999820285704389,0.9999109676874179,0.7782753298324393,0.7743801746309726,0.9274292514792519,0.721808278517901,1.0,1.0,1.0,1.0,0.7782487069602319,1.0
3,-100.37928649285689,-104.17365860159336,-101.79656378894697,-105.711563451666,-101.79446446921264,-101.78056253448693,-103.64115971570658,-104.22275860573956,-105.75909431372546,-105.70980580339366,-105.76077083105537,Fcan01_05006,0.14999008990502813,0.49231395403409683,0.06952016119068045,0.4634983633565375,1.0,0.4928309875408804,1.0,0.49626857308229433,1.0,1.0,1.0,0.19574615016121724,0.39760431033336135,0.7476656110469755,0.3468137803947775,0.4638621534419983,0.9757488982308644,1.0,0.1377499874224209
4,-22.214741622025713,-22.801654114449292,-23.59452035260074,-24.253096226077645,-23.594513149303395,-23.59448344727548,-22.069611606241267,-22.80220672883783,-24.11979433756295,-24.252959690673606,-24.253292071761535,Fcan01_05007,0.7456818485560204,0.5016315638600157,0.3608917229643669,0.4839754697840877,1.0,0.501633370563925,0.672717689903966,0.5016408203834315,0.6727276805179536,1.0,1.0,1.0,1.0,0.6932964723151349,0.3587636852272963,0.5174751344533336,0.9997237309750477,1.0,0.7690182373178756
5,-66.4211043740626,-66.42194193422878,-73.20985748363609,-73.21222520023744,-73.20990339712512,-73.20989672598006,-66.01632163463401,-66.42137871191031,-73.18048675570725,-73.21143590641964,-73.21151811156449,Fcan01_05008,0.9995813075930448,0.033561471389789245,0.03352176287256803,0.03353580405908873,1.0,0.03356070093650856,0.033574758432929785,0.033560812880847356,0.03357487042415847,0.9999803790205072,1.0,1.0,1.0,0.8166631758106768,0.027817705833454165,0.034062642540286396,1.0,0.999977043518988,1.0
6,-55.84976577873664,-55.84985012797739,-56.522770457835236,-55.84982548529075,-56.52276918471267,-56.522769361462906,-55.37887882237425,-55.849843103597465,-56.51478698685506,-55.84982302999106,-56.5226895783388,Fcan01_05009,0.9999578262689612,0.7142642125178595,0.9999701471685489,1.0,1.0,0.714264667190947,0.7142947916673731,0.7142646040677262,0.71429472854149,1.0,0.7142859275251283,1.0,1.0,0.7901897751888892,0.5666836416280472,0.7171487906086678,1.0,1.0,1.0
7,-32.04963893552039,-32.55877582217278,-32.55356949681325,-32.55264074162065,-32.553566947973025,-32.553448547093836,-31.900457145104667,-32.55267560775553,-32.82204617338374,-32.55258695936672,-32.55270249772343,Fcan01_05010,0.7752509905184759,0.7772717239722808,0.7776327553680905,1.0,1.0,0.7772727145436313,1.0,0.7773187307920946,1.0,1.0,0.999596178821136,1.0,1.0,0.7217263480003349,0.6307822809215129,0.8739909283750025,1.0,1.0,0.8743805268168361
8,-40.91883440451133,-40.91820002759425,-40.91876551228796,-40.926536735613155,-40.91847289783502,-40.91883258248686,-40.3236238915668,-41.350991352740095,-41.34613658375548,-40.92653376748427,-40.92791788573507,Fcan01_05011,1.0,1.0,0.9961562406765512,0.9958403215197114,1.0,1.0,0.9998635741864659,1.0,0.9996837725641369,0.9999664654628476,1.0,1.0,1.0,0.5982875842069284,0.5997416222515164,1.0,0.8054165656310059,1.0,0.8074841577524184
9,-23.09146030104506,-23.152187854917912,-23.09151650728711,-23.155328838190485,-23.091532042264504,-23.091543449827327,-23.401739272044978,-23.152188008102485,-23.192012311688302,-23.154421551874634,-23.094335639795503,Fcan01_05012,0.9700925720488647,0.999971897273864,0.9685702454914958,0.9984307409403685,1.0,0.999964130033621,1.0,0.9999584264730698,1.0,0.9999865288206289,1.0,0.8562957283153173,0.8563197932359513,1.0,1.0,0.9802847857851567,0.9999999234077166,0.9999922325414702,0.9510010287208865
