,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8,model_9,model_10,model_11,gene_id,p_val_21,p_val_31,p_val_41,p_val_42,p_val_43,p_val_51,p_val_52,p_val_61,p_val_62,p_val_63,p_val_64,p_val_71,p_val_73,p_val_87,p_val_97,p_val_98,p_val_82,p_val_53,p_val_95
0,-130.3536226961888,-130.35352508455924,-131.96238478686934,-131.96229347712534,-131.96238107807028,-131.96238434024056,-130.07282577883268,-130.35352094001257,-131.95283882507286,-131.962293809517,-131.96229012518464,Fcan01_10010,1.0,0.4473647393732648,0.44738516421942043,0.44736332975478676,1.0,0.44736556896699586,0.4473437354587011,0.44736483927625914,0.44734300580357644,1.0,0.9999545694743883,1.0,1.0,0.8690561158589569,0.3906252872545515,0.44948223725284453,1.0,1.0,1.0
1,-50.188780417698354,-50.30538012494824,-50.224963840457974,-50.34343028251203,-50.22317183115956,-50.21814412136834,-49.42165841468264,-50.30540347330489,-50.28511274464532,-50.341562465416644,-50.3434536438985,Fcan01_10011,0.9433670329979604,0.982070961145168,0.925589050860822,0.9811547557681329,1.0,0.982951295625202,1.0,0.985425401019917,1.0,1.0,1.0,1.0,1.0,0.6428315724165053,0.6493865279029791,1.0,0.9999883258898185,1.0,0.96950421496524
2,-58.98952476263892,-58.98689666479129,-58.98965838199206,-59.01214212607246,-58.989667325457674,-59.01561689006641,-58.584239955139395,-58.9866572596934,-58.952890384104506,-58.986962361541316,-58.99252274323791,Fcan01_10012,1.0,0.9999331925551488,0.9887550210666881,0.9874566018753419,1.0,0.9999287211310833,0.9986156287939195,0.9870386673064641,0.9857425020067431,0.9871046132434756,0.9982641263774595,1.0,1.0,0.817741790065613,0.8316652902445624,1.0,1.0,0.9999955282771902,1.0
3,-14.14207358145839,-16.915148409203482,-16.49195959663652,-19.480096197116154,-16.49195958824879,-16.491959549194235,-16.963869715818362,-16.915149577237997,-19.480097554587473,-19.480093678442245,-19.480097556745307,Fcan01_10013,0.2499392441955681,0.3088365805277673,0.06932072830094739,0.2773503157699658,1.0,0.30883658182298623,1.0,0.3088365878537239,1.0,1.0,1.0,0.2439241245079462,0.7898161677969202,1.0,0.2841895256992299,0.2773502894997883,0.9999994159829129,1.0,0.22445748117444575
4,-46.16534851401701,-46.18817931896319,-46.165346875918175,-46.18787912803981,-46.16534387280143,-46.21126841849076,-45.78227231851764,-46.191176407662766,-46.114616762535064,-46.188223629855315,-46.16727980794036,Fcan01_10014,0.988649506013447,1.0,0.9887979089545286,1.0,1.0,1.0,1.0,0.9773016217334274,0.9885218328527995,0.9773008212754302,0.9883734713463782,1.0,1.0,0.8150938291532575,0.8469003667466287,1.0,0.9985025779071438,1.0,1.0
5,-49.777416282096056,-49.77337977827253,-49.777404631645936,-49.77636317433539,-49.77740246639229,-49.82475600043915,-49.15235954820051,-49.77280933079379,-49.49773163319932,-49.77636078042738,-49.772807253650996,Fcan01_10015,1.0,1.0,1.0,0.9985094139970732,1.0,1.0,0.9979906773371143,0.9766080747409279,0.9746390213183406,0.9766023857956672,0.9760939733325312,1.0,1.0,0.7332820289333374,0.8414017377673512,1.0,1.0,1.0,1.0
6,-45.435632585041134,-45.434735457780846,-45.43562045909644,-45.434723170638335,-45.43560656314003,-45.43563189994711,-44.931036620147324,-45.43460232324179,-45.43229931871511,-45.434679566671804,-45.434580680961545,Fcan01_10016,1.0,1.0,1.0,1.0,1.0,1.0,0.9995645421597081,1.0,0.9995518793529306,0.9999942795910264,0.9995457385535996,1.0,1.0,0.7774135338874512,0.7783092429378008,1.0,1.0,1.0,1.0
7,-53.62504001821776,-57.188286378304554,-55.72979230886216,-59.50697479909138,-55.72967351163908,-55.729792558537724,-57.23076855776614,-57.188286611244905,-59.506974781164445,-59.50697420084833,-59.50697474377904,Fcan01_10017,0.16836463922984007,0.34910723326947224,0.05281461166700331,0.3136918292855091,1.0,0.34912797037027865,1.0,0.3491071896877021,1.0,0.999999875162225,1.0,0.16482610502488393,0.47213603534148607,1.0,0.3204262585252011,0.31369186863302073,0.999999883529831,1.0,0.15127579748019393
8,-49.49048381495669,-49.85424347448014,-49.503547589086224,-49.85425159577943,-49.499794310880304,-49.49048326614553,-49.45582536840507,-49.85542580407915,-49.84071890137125,-49.854251064349114,-49.855434095733756,Fcan01_10018,0.8337015205066504,0.9934893993375375,0.8336981351437414,0.9999959393586003,1.0,0.9953555709102976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8188943372187687,0.8249382313980593,1.0,0.9994090099039802,1.0,0.8432748845017211
9,-20.934693599359008,-20.93040665208636,-20.934738924522975,-20.930397687216953,-20.934685782406802,-20.934740665685496,-20.677348377649622,-20.93009286837747,-20.929449437880038,-20.934692380114683,-20.9346883414766,Fcan01_10019,1.0,0.9999773376748109,1.0,1.0,1.0,1.0,0.9978627220777945,0.9999764671136588,0.9978353394645714,0.9999991294191185,0.9978308667428409,1.0,1.0,0.8812867308175462,0.8815702998091305,1.0,1.0,1.0,1.0
10,-33.51721095540199,-33.51969208409281,-35.73731562619432,-35.748123663599756,-33.51720145296858,-33.51720952678238,-33.107188469771415,-33.51968446912821,-33.517392072604764,-33.517597387532305,-35.74811175782435,Fcan01_10020,0.9987602048364327,0.3295417139277246,0.3277656675584476,0.3281725342792626,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8136312709665954,0.8145643883816811,1.0,1.0,1.0,0.9999046947237435
11,-31.49491933974906,-31.491757397721983,-31.597870066798095,-31.491760351689834,-31.494912342698285,-31.598044342878552,-25.647044596841567,-31.49106517015514,-31.801606260150436,-31.491745935768648,-31.49106699088614,Fcan01_10021,1.0,0.9498270500647823,1.0,0.9999985230171654,1.0,1.0,0.9984237710675968,0.9497442876030151,0.9482439557171547,0.99991286575618,0.948245356259269,1.0,1.0,0.053825374035257424,0.04608439766755172,0.8561835099810899,1.0,1.0,0.857832037861315
12,-104.90073448952478,-104.91020375399802,-105.37569669590775,-104.8956542310352,-105.37569573444085,-105.37391135660474,-104.55167783127774,-104.89412344347878,-105.52290270485969,-105.38572405891023,-105.37027902534464,Fcan01_10022,0.9952765584663348,0.7886117930863221,1.0,1.0,1.0,0.7886121721984795,0.7923548138355498,0.7893160772005896,0.7930620594710693,1.0,0.7873136566297113,1.0,1.0,0.8426338086017597,0.6153202365928092,0.7302344509696952,1.0,1.0,0.9290399989178698
13,-49.18634013307434,-54.98164598497763,-50.12529711107058,-56.08785155803355,-51.49100499695356,-53.5644138525621,-53.32554400324531,-52.90885356333021,-58.68953983033569,-56.09970524102391,-54.58824259814111,Fcan01_10023,0.05515251530166115,0.625328298848684,0.031721654867188885,0.5751624326412808,1.0,0.31589909628546653,1.0,0.11202459206910459,1.0,0.17914524622563444,1.0,0.1262360218361993,0.2018715961977369,1.0,0.0684263076491557,0.05555714582239486,1.0,0.5051731976100882,0.027343746684110756
14,-41.150812329902124,-41.6350208157221,-41.5320418638035,-42.02257068648589,-41.53200541616911,-41.53204020842389,-41.64803053507319,-41.63502078920186,-41.89568041247091,-42.02257120703689,-42.022571233944404,Fcan01_10024,0.7849743452766684,0.8264509030360337,0.6466958561134009,0.8238433013826323,1.0,0.8264659642634458,1.0,0.8264515870813018,1.0,1.0,1.0,0.7798847687486455,0.9436552926298177,1.0,0.8835345000441188,0.8778058725836998,1.0,1.0,0.8337368131819561
15,-45.94552692184021,-52.090965740309,-54.58013879625307,-61.9056396026223,-54.5801388458915,-54.58020773859565,-51.76705025264377,-52.091150126973076,-61.90573009849004,-61.90568795951103,-61.90571725137994,Fcan01_10025,0.04629508823130481,0.013335762572333308,0.0003422201411553092,0.00739214794116969,1.0,0.013335762241350153,0.28805998110902165,0.013335302880900495,0.28805005866439076,0.9999655294228341,1.0,0.054434253388117325,1.0,0.8503987369781377,0.006286568391255199,0.007392494976643898,0.9999078109176376,0.9999999751807852,0.02566067469996141
16,-28.241974996785103,-28.24215959438186,-28.565044448250745,-28.33315865492071,-28.56494233399016,-28.56444261708083,-27.750848034413394,-28.33325568479384,-28.65156139900904,-28.66418955652796,-28.664379833000197,Fcan01_10026,0.9999077054610246,0.8508369850145494,0.9554318621262063,0.9555200514088329,1.0,0.8508804274183639,0.850958966283844,0.8510930536491885,0.85117161214072,1.0,0.8907940873514271,1.0,1.0,0.7473633310194296,0.6374007615029221,0.8528659823776545,0.9554736955386365,1.0,0.9576149312348323
17,-44.02195196925297,-44.03300394557266,-44.0219438464014,-44.03299770936354,-44.02194305878001,-44.02194999507694,-38.57142185363665,-44.03555782877086,-44.66171660153253,-44.03299681454263,-44.035551367170626,Fcan01_10027,0.9944892520274381,1.0,0.9944923529537427,1.0,1.0,1.0,1.0,1.0,1.0,0.9999969256669565,1.0,1.0,1.0,0.06508455634938876,0.04758929804797395,0.7311918635890169,0.998723873343907,1.0,0.726231262584841
18,-41.68781801677943,-41.68502214040768,-41.687812141445335,-41.685026750282134,-41.68780864452299,-41.68781462194454,-40.69881349639758,-41.684453385839646,-41.34620606743482,-41.68618807314897,-41.68444569099552,Fcan01_10028,1.0,1.0,1.0,0.9999976950654303,1.0,1.0,0.9986077180673997,1.0,0.9986047335222119,0.9999987597511666,0.998607035246089,1.0,1.0,0.6109012551597168,0.7234699373126907,1.0,1.0,1.0,1.0
19,-53.620493653368015,-53.620392045945806,-54.708672331902164,-53.69662505084926,-53.68809997539216,-53.634568738514076,-52.837593024111726,-53.62037812618965,-54.69582220223111,-53.688011067720595,-54.7085535110125,Fcan01_10029,1.0,0.5803700629885008,0.9626496939410457,0.9626007890063863,1.0,0.9667617823206568,0.966712668481954,0.992987162940363,0.9929367167888431,1.0,1.0,1.0,1.0,0.6761146944133303,0.3949032072446477,0.5840772438577275,1.0,1.0,0.6041932913690609
20,-4.178416281712998,-4.5223537582319295,-5.241196148504798,-5.638055287308134,-5.250392675547232,-5.475873530287515,-3.887079805938413,-4.520122826931413,-5.643206560676646,-5.6462085476796915,-5.634944580794354,Fcan01_10030,0.8420054953143826,0.5877874162780139,0.48199598116532727,0.5724380468388304,1.0,0.5850908194263875,0.6948776732246031,0.5227099151777965,0.6207915721293843,0.8892839497784745,1.0,1.0,1.0,0.7286793371368716,0.415586967980759,0.5703290141500157,1.0,0.9954122923067975,0.8216777909654926
21,-38.838505524868594,-38.84117185673517,-39.36710724317902,-39.37414111518791,-39.3676203942147,-39.366594802355394,-38.44754918037427,-38.84307745821286,-39.36764795559017,-39.368375632769215,-39.37206174398847,Fcan01_10031,0.9986677223376323,0.7677425225398888,0.7650471637007026,0.7660677786901109,1.0,0.7675455638730684,0.7685695118657038,0.767939259048059,0.7689637322517089,1.0,1.0,1.0,1.0,0.8205633692785345,0.6312524686876154,0.7692915530005109,0.999047653031651,0.9997434573948452,0.9999862194072157
22,-26.134680680717082,-26.139991170249658,-26.134676577145626,-26.130919728176337,-26.134678051438698,-26.150641190685292,-25.56573992802643,-26.13025604006279,-26.434344265301263,-26.130900631798653,-26.130267473041386,Fcan01_10032,0.9973482772781102,1.0,1.0,1.0,1.0,1.0,1.0,0.9920515027163684,0.9946891425167974,0.9920494672413419,0.9901877263493613,1.0,1.0,0.7540790647819201,0.6477165062980677,0.8589503893539167,1.0,0.9999992628537359,0.8608516346079569
23,-32.82528032940979,-32.82522853524159,-32.825239388484874,-32.82087842641124,-32.82536327986065,-32.86523028951393,-32.5420626823518,-32.820763893945326,-32.82516325177343,-32.82872584131769,-32.822934932725474,Fcan01_10033,1.0,1.0,1.0,1.0,1.0,0.9999585256346551,0.9999326299599327,0.9802231981333269,0.9801978135394227,0.9802031327165226,0.9780681468673836,1.0,1.0,0.869922974946857,0.8680115267788571,0.9978027386066948,1.0,0.9999380562307051,1.0
24,-120.15277956725996,-120.15028697127013,-120.15107700597346,-120.14887421615674,-120.15110505548904,-120.15286114034657,-120.20844246661613,-120.15067854402164,-120.18001833354657,-120.14888797332111,-120.14903924985529,Fcan01_10034,1.0,1.0,1.0,1.0,1.0,1.0,0.9995910415368652,0.9999592142884508,0.9987137433998379,0.9991083305870883,0.9980085235310037,0.9725522769866626,0.9717247143527208,1.0,1.0,0.9854371838933544,0.9998042327891463,0.9999859753405576,0.9856473564324717
25,-73.62090295482628,-73.31339793118076,-73.62087073543819,-73.3133783624933,-73.30543297468228,-73.30382391037023,-72.97503443428585,-73.31428584441801,-73.57446766513974,-73.30577822691419,-73.31426611299878,Fcan01_10035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.843980655167862,0.7410281868860835,0.878015606576549,0.9995561419155324,1.0,0.8741377166264399
26,-81.88246789915857,-81.00298523220917,-81.88202538026096,-81.00155220563528,-81.88208359032853,-81.88256842712005,-81.95635620053804,-81.0051511680168,-81.10050113533168,-81.8822230428666,-81.88222306139426,Fcan01_10036,1.0,1.0,1.0,1.0,1.0,1.0,0.6443268316447557,0.9999497372824734,0.6441706538988291,0.9997285134296038,0.6437092623825653,0.963729957499483,0.9635167467286063,1.0,1.0,0.9534436214828422,0.9989176182942976,0.9999708953897581,1.0
27,-97.83760405720474,-97.83723273874875,-97.83785282553868,-97.8374834025399,-97.84130227895582,-97.86487572954061,-97.5156594536574,-97.82389216246304,-97.79853212373709,-97.83748435862134,-97.83748107564543,Fcan01_10037,1.0,0.9998756235684235,1.0,0.9998746759581392,1.0,0.998152597676712,0.9979672986377768,0.9864567107171168,0.9862735829259629,0.9865794179445876,0.9863972022102241,1.0,1.0,0.8571722794401992,0.8681104420423102,1.0,1.0,0.9982767597778189,1.0
28,-60.45258000320558,-60.9304975199891,-60.46968260978798,-60.93047234131319,-60.452711807725166,-60.45270914260641,-61.123588452779245,-60.93049268931583,-60.93935656859168,-60.93050364915206,-60.93049836802146,Fcan01_10038,0.7874473572984434,0.9914851551065043,0.7874572708017491,1.0,1.0,0.9999340999117147,1.0,0.9999354323841652,1.0,1.0,1.0,0.714977486077895,0.721117691369865,1.0,1.0,0.9955778669138545,1.0,1.0,0.784018720731111
