date,VWC5,VWC_40zone,EV24,FG,Q,rd,SQ,TN,TX,UG,LAI,Crop,BOFEK,VWC5_lag,VWC5_lag3,VWC5_lag40,EV24_lag,FG_lag,Q_lag,rd_lag,SQ_lag,TN_lag,TX_lag,UG_lag,LAI_lag,rd_3day,rd_3day_lag,DOY
2016-05-09,0.2576,0.2562,4.59,432.98,25.12,0,12.31,13.58,25.7,50.47,1.5625,chicory,317,NA,NA,NA,4.88,424.48,26.71,0,14.45,12.43,25.64,44.46,1.7,0,0,130
2016-05-10,0.2548,0.2549,2.02,258.74,11.39,0,1.04,14.77,22.33,66.84,1.425,chicory,317,0.2576,NA,NA,4.59,432.98,25.12,0,12.31,13.58,25.7,50.47,1.5625,0,0,131
2016-05-11,0.2536,0.2537,4.17,309.55,22.93,0,10.74,14.05,26.18,58.52,1.2875,chicory,317,0.2548,NA,NA,2.02,258.74,11.39,0,1.04,14.77,22.33,66.84,1.425,0,0,132
2016-05-12,0.2509,0.2524,4.62,427.97,26.23,0,13.93,13.49,25.37,51.14,1.15,chicory,317,0.2536,0.2576,NA,4.17,309.55,22.93,0,10.74,14.05,26.18,58.52,1.2875,0,0,133
2016-05-13,0.2484,0.2509,4.39,419.8,25.76,0.1,12.94,8.81,23.97,56.93,1.0125,chicory,317,0.2509,0.2548,NA,4.62,427.97,26.23,0,13.93,13.49,25.37,51.14,1.15,0.1,0,134
2016-05-14,0.2446,0.2487,2.39,403.78,16.96,0,5.64,5.31,13.29,65.75,0.875,chicory,317,0.2484,0.2536,NA,4.39,419.8,25.76,0.1,12.94,8.81,23.97,56.93,1.0125,0.1,0.1,135
2016-05-15,0.2431,0.2469,2.72,359.03,19.42,0,8.17,4.11,13.38,66.02,0.7375,chicory,317,0.2446,0.2509,NA,2.39,403.78,16.96,0,5.64,5.31,13.29,65.75,0.875,0.1,0.1,136
2016-05-16,0.2419,0.2456,1.94,227.64,13.53,0,3.12,2.93,13.4,71.95,0.6,chicory,317,0.2431,0.2484,NA,2.72,359.03,19.42,0,8.17,4.11,13.38,66.02,0.7375,0,0.1,137
2016-05-17,0.2417,0.2449,2.01,254.82,13.1,0,3.86,7.1,18.8,68.07,0.6875,chicory,317,0.2419,0.2446,NA,1.94,227.64,13.53,0,3.12,2.93,13.4,71.95,0.6,0,0,138
2016-05-18,0.241,0.2441,2.27,288.11,14.15,2.5,3.5,7.89,20.21,74.7,0.775,chicory,317,0.2417,0.2431,NA,2.01,254.82,13.1,0,3.86,7.1,18.8,68.07,0.6875,2.5,0,139
